name;ring;quadrant;isNew;description
Solr;niche;tools;TRUE;"<p>Some introductory text describing what this is and why we use it. There might be some refererence to   <strong><a href=""#"">something</a></strong>, <a href=""#"">something else</a> and <a href=""#"">another thing</a>. We should list some projects that use it: <br><strong>Like This</strong><br><strong>And This</strong> <br>And maybe also someone at Westernacher who you can contact if you want some more details about this topic.<br><br>And maybe also someone at Westernacher who you can contact if you want some more details about this topic.</p>"
ActiveMQ;niche;tools;TRUE;"<p>Some introductory text describing what this is and why we use it. There might be some refererence to   <strong><a href=""#"">something</a></strong>, <a href=""#"">something else</a> and <a href=""#"">another thing</a>. We should list some projects that use it: <br><strong>Like This</strong><br><strong>And This</strong> <br>And maybe also someone at Westernacher who you can contact if you want some more details about this topic.<br><br>And maybe also someone at Westernacher who you can contact if you want some more details about this topic.</p>"
Spectron;niche;tools;TRUE;"<p>Some introductory text describing what this is and why we use it. There might be some refererence to   <strong><a href=""#"">something</a></strong>, <a href=""#"">something else</a> and <a href=""#"">another thing</a>. We should list some projects that use it: <br><strong>Like This</strong><br><strong>And This</strong> <br>And maybe also someone at Westernacher who you can contact if you want some more details about this topic.<br><br>And maybe also someone at Westernacher who you can contact if you want some more details about this topic.</p>"
Helm;dabble;tools;TRUE;"<p>Some introductory text describing what this is and why we use it. There might be some refererence to   <strong><a href=""#"">something</a></strong>, <a href=""#"">something else</a> and <a href=""#"">another thing</a>. We should list some projects that use it: <br><strong>Like This</strong><br><strong>And This</strong> <br>And maybe also someone at Westernacher who you can contact if you want some more details about this topic.<br><br>And maybe also someone at Westernacher who you can contact if you want some more details about this topic.</p>"
Rancher;dabble;tools;TRUE;"<p>Some introductory text describing what this is and why we use it. There might be some refererence to   <strong><a href=""#"">something</a></strong>, <a href=""#"">something else</a> and <a href=""#"">another thing</a>. We should list some projects that use it: <br><strong>Like This</strong><br><strong>And This</strong> <br>And maybe also someone at Westernacher who you can contact if you want some more details about this topic.<br><br>And maybe also someone at Westernacher who you can contact if you want some more details about this topic.</p>"
Selenium;core;tools;;
Groovy;core;tools;;
Spock;core;tools;;
Geb;core;tools;;
Serenity;core;tools;;
Zaphy;dabble;tools;;
Zephyr;core;tools;;
Winium;niche;tools;;
.NET;niche;platforms;;
Selenium Grid;dabble;tools;;
Browserstack;core;platforms;;
EasyBI;dabble;tools;;
IntelliJ;core;tools;;
Eclipse;core;tools;;
Mocha;core;tools;;
Chai;core;tools;;
Junit;core;tools;;
Restassured;niche;tools;;
Jmeter;niche;tools;;
Gatling;niche;tools;;
HP LoadRunner;niche;tools;;
Ranorex;horizon;tools;;
Last- & Performanz Tests;niche;techniques;;
Exploratives Testen;niche;techniques;;
Security Tests;horizon;techniques;;
Black-Box Testing;core;techniques;;
White-Box Testing;dabble;techniques;;
Script-Basiertes Testen;core;techniques;;
statisches Testen;dabble;techniques;;
dynamiches Testen;core;techniques;;
GUI Test Automation;core;techniques;;
Specification Based Testing;core;techniques;;
User Based Testing;dabble;techniques;;
UX Testing;horizon;techniques;;
Requirements Based Testing;core;techniques;;
Code Based Testing;dabble;techniques;;
